"reaction","temp","Output"
"NC1=CC=C(C)C=C1*CC1=CC=CC(Br)=N1*N(c1nc(C)ccc1)c1ccc(C)cc1","",4.736529033
"NC1=CC=C(C)C=C1*FC1=CN=CC(Br)=C1*Fc1cc(Nc2ccc(C)cc2)cnc1","",2.964084914
"OC1=CC=CC=C1N*CC1=CN=CC(Br)=C1*Oc1c(Nc2cc(C)cnc2)cccc1","",2.398745379
"OC1=CC=CC=C1N*N#CC1=C(Br)C=NC=C1*Oc1c(Nc2c(C#N)ccnc2)cccc1","",1.322211122
"NC1=CC=CC=C1F*FC1=CN=CC(Br)=C1*Fc1c(Nc2cc(F)cnc2)cccc1","",2.75374534
"FC1=CC(N)=CC=C1*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2cc(F)ccc2)c1","",2.091029989
"FC1=CC(N)=CC=C1*N#CC1=C(Br)C=NC=C1*Fc1cc(Nc2c(C#N)ccnc2)ccc1","",1.959676666
"NC1=CC=C(F)C=C1*CC1=CN=CC(Br)=C1*Fc1ccc(Nc2cc(C)cnc2)cc1","",7.019861697
"NC1=CC=C(F)C=C1*CC1=NC=CC(Br)=C1*Fc1ccc(Nc2cc(C)ncc2)cc1","",2.910105867
"NC1=CC=CC=C1C#C*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2c(C#C)cccc2)c1","",1.676819923
"NC1=C(C)C=CC=C1C*FC1=CN=CC(Br)=C1*Fc1cc(Nc2c(C)cccc2C)cnc1","",2.131394261
"NC1=C(C)C=CC=C1C*N#CC1=C(Br)C=NC=C1*N#Cc1c(Nc2c(C)cccc2C)cncc1","",0.423349412
"NC1=C(C)C=C(C)C=C1C*CC1=CC=CC(Br)=N1*N(c1c(C)cc(C)cc1C)c1nc(C)ccc1","",0.03601667
"NC1=CC(C(C)=O)=CC=C1*N#CC1=C(Br)C=NC=C1*O=C(C)c1cc(Nc2c(C#N)ccnc2)ccc1","",4.037933028
"CC(C1=CC=CC=C1N)=O*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2c(C(=O)C)cccc2)c1","",4.125284439
"CC(C1=CC=C(N)C=C1)=O*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2ccc(C(=O)C)cc2)c1","",1.845866398
"NC1=CC=C(C(C)(C)C)C=C1*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2ccc(C(C)(C)C)cc2)c1","",3.343483075
"NC1=CC=CC=C1C(F)(F)F*FC1=CN=CC(Br)=C1*FC(F)(F)c1c(Nc2cc(F)cnc2)cccc1","",3.616848882
"O=C(O)C1=CC=C(OC)C(N)=C1*CC1=CN=CC(Br)=C1*O=C(O)c1cc(Nc2cc(C)cnc2)c(OC)cc1","",10.45016656
"O=C(O)C1=CC=C(OC)C(N)=C1*N#CC1=C(Br)C=NC=C1*O=C(O)c1cc(Nc2c(C#N)ccnc2)c(OC)cc1","",2.038656957
"NC1=CC=CC=C1C*BrC1=CN=CC(C(C)=O)=C1*O=C(C)c1cc(Nc2c(C)cccc2)cnc1","",5.046018871
"NC1=CC=CC=C1C*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1cc(Nc2c(C)cccc2)ncc1","",2.308021248
"NC1=CC=CC(C)=C1*CN(C)C1=NC=CC(Br)=C1*N(C)(C)c1nccc(Nc2ccc(CC)cc2)c1","",11.06656792
"NC1=CC=C(C)C=C1*COC1=NC=CC(Br)=C1*O(C)c1nccc(Nc2ccc(C)cc2)c1","",3.578527895
"NC1=CC=C(C)C=C1*CN(C)C1=NC=CC(Br)=C1*N(C)(C)c1nccc(Nc2ccc(C)cc2)c1","",11.6038624
"NC1=CC=C(C)C=C1*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1cc(Nc2ccc(C)cc2)ncc1","",3.405049934
"NC1=CC=CC=C1F*O=[N+](C1=CC(Br)=NC=C1)[O-]*Fc1c(Nc2nccc([N+](=O)[O-])c2)cccc1","",5.168252739
"NC1=CC=C(F)C=C1*COC1=CN=CC(Br)=C1*Fc1ccc(Nc2cc(OC)cnc2)cc1","",8.970572803
"NC1=CC=CC=C1C#C*BrC1=CN=CC(C(C)=O)=C1*O=C(C)c1cc(Nc2c(C#C)cccc2)cnc1","",2.822549974
"N#Cc1ccc(N)cc1*CN(C)C1=NC=CC(Br)=C1*N#Cc1ccc(Nc2cc(N(C)C)ncc2)cc1","",0.435702521
"NC1=C(C)C=CC=C1C*COC1=CN=CC(Br)=C1*O(C)c1cc(Nc2c(C)cccc2C)cnc1","",3.125947235
"NC1=CC=C(OC)C=C1*BrC1=CN=CC(C(C)=O)=C1*O=C(C)c1cc(Nc2ccc(OC)cc2)cnc1","",4.438902166
"NC1=CC(C(C)=O)=CC=C1*N#CC1=CN=C(Br)C=C1*O=C(C)c1cc(Nc2ncc(C#N)cc2)ccc1","",2.838339538
"NC1=CC(C(C)=O)=CC=C1*COC1=CN=CC(Br)=C1*O=C(C)c1cc(Nc2cc(OC)cnc2)ccc1","",13.27264668
"CC(C1=CC=CC=C1N)=O*COC1=NC=CC(Br)=C1*O=C(C)c1c(Nc2cc(OC)ncc2)cccc1","",7.103013414
"CC(C1=CC=C(N)C=C1)=O*COC1=CN=C(Br)C=C1*O=C(C)c1ccc(Nc2ncc(OC)cc2)cc1","",3.68792517
"CC(C1=CC=C(N)C=C1)=O*CN(C)C1=NC=CC(Br)=C1*O=C(C)c1ccc(Nc2cc(N(C)C)ncc2)cc1","",7.468846664
"NC1=CC=C([N+]([O-])=O)C=C1*N#CC1=CN=C(Br)C=C1*O=[N+]([O-])c1ccc(Nc2ncc(C#N)cc2)cc1","",0.924330268
"NC1=CC=C([N+]([O-])=O)C=C1*COC1=NC=CC(Br)=C1*O=[N+]([O-])c1ccc(Nc2cc(OC)ncc2)cc1","",5.061057334
"NC1=CC=C(C(C)(C)C)C=C1*N#CC1=CN=C(Br)C=C1*N#Cc1cnc(Nc2ccc(C(C)(C)C)cc2)cc1","",1.419178976
"NC1=CC=CC=C1C(F)(F)F*COC1=CN=C(Br)C=C1*FC(F)(F)c1c(Nc2ncc(OC)cc2)cccc1","",2.324819908
"FC(F)(F)C1=CC=C(N)C=C1*O=[N+](C1=CC(Br)=NC=C1)[O-]*FC(F)(F)c1ccc(Nc2nccc([N+](=O)[O-])c2)cc1","",3.007790621
"O=C(O)C1=CC=C(OC)C(N)=C1*N#CC1=CN=C(Br)C=C1*O=C(O)c1cc(Nc2ncc(C#N)cc2)c(OC)cc1","",3.286184675
"O=C(O)C1=CC=C(OC)C(N)=C1*COC1=CN=C(Br)C=C1*O=C(O)c1cc(Nc2ncc(OC)cc2)c(OC)cc1","",6.391075594
"O=C(O)C1=CC=C(OC)C(N)=C1*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1cc(Nc2c(OC)ccc(C(=O)O)c2)ncc1","",5.055373638
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1c(Nc2nccc([N+](=O)[O-])c2)cc(C(=O)O)cc1","",2.983023083
"NC1=CC=CC(C)=C1*O=C(OCC)C1=NC=CC(Br)=C1*O=C(OCC)c1nccc(Nc2ccc(CC)cc2)c1","",0.010273594
"NC1=CC=CC=C1F*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2c(F)cccc2)cc1","",2.836673646
"FC1=CC(N)=CC=C1*CC1=CC(Br)=CC(C)=N1*Fc1cc(Nc2cc(C)nc(C)c2)ccc1","",2.362676857
"NC1=CC=C(F)C=C1*O=C(OC)C1=CN=C(Br)C=C1*Fc1ccc(Nc2ncc(C(=O)OC)cc2)cc1","",1.839130014
"NC1=CC=C(F)C=C1*CC1=CC(Br)=CC(C)=N1*Fc1ccc(Nc2cc(C)nc(C)c2)cc1","",3.214306499
"NC1=CC=C(F)C=C1*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2ccc(F)cc2)c1","",1.985298285
"NC1=CC=CC=C1C#C*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2c(C#C)cccc2)cc1","",1.918078165
"NC1=CC=CC=C1C#C*FC(C1=NC=CC=C1Br)(F)F*FC(F)(F)c1c(Nc2c(C#C)cccc2)cccn1","",1.531940139
"N#Cc1ccc(N)cc1*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2ccc(C#N)cc2)cc1","",2.419812081
"NC1=CC=C(OC)C=C1*O=C(OC)C1=CN=C(Br)C=C1*O=C(OC)c1cnc(Nc2ccc(OC)cc2)cc1","",4.374724305
"NC1=CC=CC=C1OC*FC(C1=CC(Br)=NC=C1)(F)F*FC(F)(F)c1cc(Nc2c(OC)cccc2)ncc1","",3.953009857
"NC1=C(C)C=C(C)C=C1C*CC1=CC(Br)=CC(C)=N1*N(c1c(C)cc(C)cc1C)c1cc(C)nc(C)c1","",0.663479924
"NC1=C(C)C=C(C)C=C1C*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2c(C)cc(C)cc2C)c1","",0.072086271
"NC1=C(C)C=C(C)C=C1C*FC(C1=NC=CC=C1Br)(F)F*FC(F)(F)c1c(Nc2c(C)cc(C)cc2C)cccn1","",0.019435294
"NC1=CC(C(C)=O)=CC=C1*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2cc(C(=O)C)ccc2)c1","",4.132077509
"CC(C1=CC=CC=C1N)=O*O=C(OC)C1=CN=C(Br)C=C1*O=C(OC)c1cnc(Nc2c(C(=O)C)cccc2)cc1","",1.549488592
"CC(C1=CC=CC=C1N)=O*CC1=CC(Br)=CC(C)=N1*O=C(C)c1c(Nc2cc(C)nc(C)c2)cccc1","",9.784799219
"CC(C1=CC=C(N)C=C1)=O*FC(C1=CC=CC(Br)=N1)F*FC(F)c1nc(Nc2ccc(C(=O)C)cc2)ccc1","",2.383641521
"CC(C1=CC=C(N)C=C1)=O*CC1=CC(Br)=CC(C)=N1*O=C(C)c1ccc(Nc2cc(C)nc(C)c2)cc1","",3.878408708
"CC(C1=CC=C(N)C=C1)=O*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2ccc(C(=O)C)cc2)cc1","",2.510005718
"NC1=CC=C([N+]([O-])=O)C=C1*FC(C1=CC(Br)=NC=C1)(F)F*FC(F)(F)c1cc(Nc2ccc([N+](=O)[O-])cc2)ncc1","",3.443979976
"N#CC1=CC=CC(OC)=C1N*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2cc(C)c(C)cc2)c1","",2.713484789
"NC1=CC=C(C(C)(C)C)C=C1*O=C(OC)C1=CN=C(Br)C=C1*O=C(OC)c1cnc(Nc2ccc(C(C)(C)C)cc2)cc1","",1.712854678
"NC1=CC=CC=C1C(F)(F)F*FC(C1=CC=CC(Br)=N1)F*FC(F)(F)c1c(Nc2nc(C(F)F)ccc2)cccc1","",3.064394665
"NC1=CC=CC=C1C(F)(F)F*CC1=CC(Br)=CC(C)=N1*FC(F)(F)c1c(Nc2cc(C)nc(C)c2)cccc1","",6.729485272
"FC(F)(F)C1=CC=C(N)C=C1*O=C(OC)C1=CN=C(Br)C=C1*FC(F)(F)c1ccc(Nc2ncc(C(=O)OC)cc2)cc1","",1.286550008
"FC(F)(F)C1=CC=C(N)C=C1*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2ccc(C(F)(F)F)cc2)cc1","",2.095013093
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2c([N+](=O)[O-])ccc(C(=O)O)c2)c1","",2.593169591
"CC1=CN=C(N)C=C1*FC1=CN=CC(Br)=C1*Fc1cc(Nc2ncc(C)cc2)cnc1","",4.866633052
"CC1=C(N)C=NC=C1*CC1=CC=CC(Br)=N1*N(c1c(C)ccnc1)c1nc(C)ccc1","",0.648100959
"CC1=NC=CC(N)=C1*CC1=NC=CC(Br)=C1*N(c1cc(C)ncc1)c1cc(C)ncc1","",1.646122897
"CC1=NC=CC(N)=C1*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2cc(C)ncc2)c1","",0.147047218
"FC1=CC=CC(N)=N1*CC1=CN=CC(Br)=C1*Fc1nc(Nc2cc(C)cnc2)ccc1","",10.04832321
"FC1=C(N)C=CN=C1*CC1=CC=CC(Br)=N1*Fc1c(Nc2nc(C)ccc2)ccnc1","",4.972794724
"FC1=C(N)C=CN=C1*N#CC1=C(Br)C=NC=C1*Fc1c(Nc2c(C#N)ccnc2)ccnc1","",3.406867061
"CC1=CC(C)=C(N)C=N1*CC1=CC=CC(Br)=N1*N(c1c(C)cc(C)nc1)c1nc(C)ccc1","",0.825749302
"COC1=NC=C(N)C=C1*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2cnc(OC)cc2)c1","",5.950419972
"COC1=NC=C(N)C=C1*N#CC1=C(Br)C=NC=C1*O(C)c1ncc(Nc2c(C#N)ccnc2)cc1","",4.259118795
"N#CCC1=NC=CC=C1N*FC1=CC(Br)=NC=C1*Fc1cc(Nc2c(CC#N)nccc2)ncc1","",0.064842958
"O=C(C1=CC=CN=C1N)C*FC1=CN=CC(Br)=C1*Fc1cc(Nc2c(C(=O)C)cccn2)cnc1","",1.561343255
"CCOC1=NC=CC(N)=C1*CC1=CC=CC(Br)=N1*O(CC)c1nccc(Nc2nc(C)ccc2)c1","",4.572416518
"CCOC1=NC=CC(N)=C1*N#CC1=C(Br)C=NC=C1*O(CC)c1nccc(Nc2c(C#N)ccnc2)c1","",3.914121138
"CCOC1=CC(N)=NC=C1*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2nccc(OCC)c2)c1","",3.060616617
"O=[N+](C1=CN=C(N)C=C1)[O-]*CC1=NC=CC(Br)=C1*O=[N+]([O-])c1cnc(Nc2cc(C)ncc2)cc1","",0.9729131
"O=[N+](C1=CN=C(N)C=C1)[O-]*CC1=CC=CC(Br)=N1*O=[N+]([O-])c1cnc(Nc2nc(C)ccc2)cc1","",1.928808594
"O=[N+](C1=CN=C(N)C=C1)[O-]*FC1=CC(Br)=NC=C1*Fc1cc(Nc2ncc([N+](=O)[O-])cc2)ncc1","",0.95010127
"O=C(OC)C1=CC=NC=C1N*CC1=CC=CC(Br)=N1*O=C(OC)c1c(Nc2nc(C)ccc2)cncc1","",1.879432624
"O=C(OC)C1=CC=NC=C1N*FC1=CN=CC(Br)=C1*Fc1cc(Nc2c(C(=O)OC)ccnc2)cnc1","",2.440347929
"O=C(OC)C1=CC=NC(N)=C1*FC1=CN=CC(Br)=C1*Fc1cc(Nc2nccc(C(=O)OC)c2)cnc1","",3.497583643
"NC1=NC=C(C(F)(F)F)C=C1*N#CC1=C(Br)C=NC=C1*FC(F)(F)c1cnc(Nc2c(C#N)ccnc2)cc1","",0.583434343
"FC(C1=NC=C(N)C=C1)(F)F*CC1=NC=CC(Br)=C1*FC(F)(F)c1ncc(Nc2cc(C)ncc2)cc1","",1.531624916
"FC(C1=NC=C(N)C=C1)(F)F*FC1=NC=CC(Br)=C1*FC(F)(F)c1ncc(Nc2cc(F)ncc2)cc1","",2.33486478
"FC(C1=NC=CC(N)=C1)(F)F*FC1=CN=CC(Br)=C1*FC(F)(F)c1nccc(Nc2cc(F)cnc2)c1","",2.985169073
"CC1=C(N)C=NC=C1*O=[N+](C1=C(Br)C=NC=C1)[O-]*O=[N+]([O-])c1c(Nc2c(C)ccnc2)cncc1","",0.587712261
"CC1=NC=CC(N)=C1*N#CC1=CN=C(Br)C=C1*N#Cc1cnc(Nc2cc(C)ncc2)cc1","",1.278964107
"CC1=NC=CC(N)=C1*BrC1=CN=CC(C(C)=O)=C1*O=C(C)c1cc(Nc2cc(C)ncc2)cnc1","",0.369477912
"CC1=NC=CC(N)=C1*CN(C)C1=NC=CC(Br)=C1*N(C)(C)c1nccc(Nc2cc(C)ncc2)c1","",0.317621006
"FC1=CC=CC(N)=N1*O=[N+](C1=CC(Br)=NC=C1)[O-]*Fc1nc(Nc2nccc([N+](=O)[O-])c2)ccc1","",3.634930261
"FC1=NC=C(N)C=C1*COC1=CN=C(Br)C=C1*Fc1ncc(Nc2ncc(OC)cc2)cc1","",0.292577675
"FC1=C(N)C=CN=C1*COC1=CN=CC(Br)=C1*Fc1c(Nc2cc(OC)cnc2)ccnc1","",10.54281623
"N#CC1=CC(N)=NC=C1*COC1=CN=CC(Br)=C1*O(C)c1cc(Nc2nccc(C#N)c2)cnc1","",7.52072237
"N#CC1=NC=CC(N)=C1*N#CC1=CN=C(Br)C=C1*N#Cc1nccc(Nc2ncc(C#N)cc2)c1","",1.011469143
"CC1=CC(C)=C(N)C=N1*COC1=CN=CC(Br)=C1*O(C)c1cc(Nc2c(C)cc(C)nc2)cnc1","",1.06387921
"COC1=NC=C(N)C=C1*COC1=CN=CC(Br)=C1*O(C)c1ncc(Nc2cc(OC)cnc2)cc1","",9.727975406
"COC1=NC=C(N)C=C1*O=[N+](C1=C(Br)C=NC=C1)[O-]*O=[N+]([O-])c1c(Nc2cnc(OC)cc2)cncc1","",0.029974016
"N#CCC1=NC=CC=C1N*COC1=CN=C(Br)C=C1*O(C)c1cnc(Nc2c(CC#N)nccc2)cc1","",0.400250458
"O=C(C1=CC=CN=C1N)C*CN(C)C1=NC=CC(Br)=C1*O=C(C)c1c(Nc2cc(N(C)C)ncc2)nccc1","",2.523060374
"O=C(C1=CC=CN=C1N)C*O=[N+](C1=C(Br)C=NC=C1)[O-]*O=[N+]([O-])c1c(Nc2c(C(=O)C)cccn2)cncc1","",0.066335328
"CCOC1=NC=CC(N)=C1*COC1=NC=CC(Br)=C1*O(CC)c1nccc(Nc2cc(OC)ncc2)c1","",2.452194829
"CCOC1=CC(N)=NC=C1*BrC1=CN=CC(C(C)=O)=C1*O=C(C)c1cc(Nc2nccc(OCC)c2)cnc1","",2.926974994
"CCOC1=CC(N)=NC=C1*CN(C)C1=NC=CC(Br)=C1*O(CC)c1cc(Nc2cc(N(C)C)ncc2)ncc1","",8.476337767
"CCOC1=CC(N)=NC=C1*O=[N+](C1=C(Br)C=NC=C1)[O-]*O=[N+]([O-])c1c(Nc2nccc(OCC)c2)cncc1","",0.178504396
"O=[N+](C1=CN=C(N)C=C1)[O-]*BrC1=CN=CC(C(C)=O)=C1*O=[N+]([O-])c1cnc(Nc2cc(C(=O)C)cnc2)cc1","",3.681577104
"O=[N+](C1=CN=C(N)C=C1)[O-]*O=[N+](C1=C(Br)C=NC=C1)[O-]*O=[N+]([O-])c1c(Nc2ncc([N+](=O)[O-])cc2)cncc1","",0.815870098
"O=C(OC)C1=CC=NC=C1N*COC1=CN=CC(Br)=C1*O=C(OC)c1c(Nc2cc(OC)cnc2)cncc1","",2.053898709
"O=C(OC)C1=CC=NC=C1N*BrC1=CN=CC(C(C)=O)=C1*O=C(OC)c1c(Nc2cc(C(=O)C)cnc2)cncc1","",1.334574168
"O=C(OC)C1=CC=NC=C1N*CN(C)C1=NC=CC(Br)=C1*O=C(OC)c1c(Nc2cc(N(C)C)ncc2)cncc1","",0.991123385
"O=C(OC)C1=CC=NC(N)=C1*COC1=CN=C(Br)C=C1*O=C(OC)c1cc(Nc2ncc(OC)cc2)ncc1","",13.14279466
"NC1=NC=C(C(F)(F)F)C=C1*COC1=CN=C(Br)C=C1*FC(F)(F)c1cnc(Nc2ncc(OC)cc2)cc1","",11.30800405
"NC1=NC=C(C(F)(F)F)C=C1*BrC1=CN=CC(C(C)=O)=C1*FC(F)(F)c1cnc(Nc2cc(C(=O)C)cnc2)cc1","",2.664372684
"FC(C1=NC=CC(N)=C1)(F)F*N#CC1=CN=C(Br)C=C1*FC(F)(F)c1nccc(Nc2ncc(C#N)cc2)c1","",0.597417025
"O=C(OCC)C1=NC=CC(N)=C1*CN(C)C1=NC=CC(Br)=C1*O=C(OCC)c1nccc(Nc2cc(N(C)C)ncc2)c1","",1.449414716
"O=C(OCC)C1=NC=CC(N)=C1*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1cc(Nc2cc(C(=O)OCC)ncc2)ncc1","",0.856291884
"CC1=C(N)C=NC=C1*O=C(OC)C1=CN=C(Br)C=C1*O=C(OC)c1cnc(Nc2c(C)ccnc2)cc1","",1.158914389
"CC1=NC=CC(N)=C1*FC(C1=CC=CC(Br)=N1)F*FC(F)c1nc(Nc2cc(C)ncc2)ccc1","",2.470178647
"CC1=NC=CC(N)=C1*O=C(OC)C1=CN=C(Br)C=C1*O=C(OC)c1cnc(Nc2cc(C)ncc2)cc1","",3.345029377
"FC1=CC=CC(N)=N1*O=C(OCC)C1=NC=CC(Br)=C1*Fc1nc(Nc2cc(C(=O)OCC)ncc2)ccc1","",3.690684139
"FC1=NC=C(N)C=C1*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2cnc(F)cc2)cc1","",2.515113158
"FC1=C(N)C=CN=C1*FC(C1=CC=CC(Br)=N1)F*FC(F)c1nc(Nc2c(F)cncc2)ccc1","",5.449471882
"FC1=C(N)C=CN=C1*O=C(OC)C1=CN=C(Br)C=C1*Fc1c(Nc2ncc(C(=O)OC)cc2)ccnc1","",1.485542141
"FC1=C(N)C=CN=C1*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2c(F)cncc2)cc1","",2.72161967
"N#CC1=CC(N)=NC=C1*O=C(OCC)C1=NC=CC(Br)=C1*O=C(OCC)c1nccc(Nc2nccc(C#N)c2)c1","",1.462513573
"CC1=CC(C)=C(N)C=N1*CC1=CC(Br)=CC(C)=N1*N(c1c(C)cc(C)nc1)c1cc(C)nc(C)c1","",4.849229109
"CC1=CC(C)=C(N)C=N1*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2c(C)cc(C)nc2)cc1","",3.748386817
"COC1=NC=C(N)C=C1*FC(C1=NC=CC=C1Br)(F)F*FC(F)(F)c1c(Nc2cnc(OC)cc2)cccn1","",1.895149129
"O=[N+](C1=CN=C(N)C=C1)[O-]*O=C(OCC)C1=NC=CC(Br)=C1*O=[N+]([O-])c1cnc(Nc2cc(C(=O)OCC)ncc2)cc1","",2.813746403
"O=C(OC)C1=CC=NC=C1N*CC1=CC(Br)=CC(C)=N1*O=C(OC)c1c(Nc2cc(C)nc(C)c2)cncc1","",2.648122341
"O=C(C1=C(N)C=CN=C1)OC*FC(C1=CC(Br)=NC=C1)(F)F*FC(F)(F)c1cc(Nc2c(C(=O)OC)cncc2)ncc1","",0.239963503
"O=C(C1=NC=CC(N)=C1)OC*FC(C1=CC=CC(Br)=N1)F*FC(F)c1nc(Nc2cc(C(=O)OC)ncc2)ccc1","",3.695624362
"O=C(C1=NC=CC(N)=C1)OC*O=C(OC)C1=CN=C(Br)C=C1*O=C(OC)c1nccc(Nc2ncc(C(=O)OC)cc2)c1","",0.815711585
"O=C(C1=NC=CC(N)=C1)OC*FC(C1=CC(Br)=NC=C1)(F)F*FC(F)(F)c1cc(Nc2cc(C(=O)OC)ncc2)ncc1","",0.887061071
"O=C(OC)C1=CC=NC(N)=C1*FC(C1=NC=CC=C1Br)(F)F*FC(F)(F)c1c(Nc2nccc(C(=O)OC)c2)cccn1","",1.099919041
"NC1=NC=C(C(F)(F)F)C=C1*CC1=CC(Br)=CC(C)=N1*FC(F)(F)c1cnc(Nc2cc(C)nc(C)c2)cc1","",2.129210885
"NC1=NC=C(C(F)(F)F)C=C1*O=C(OCC)C1=NC=CC(Br)=C1*FC(F)(F)c1cnc(Nc2cc(C(=O)OCC)ncc2)cc1","",1.176978218
"FC(C1=NC=C(N)C=C1)(F)F*CC1=CC(Br)=CC(C)=N1*FC(F)(F)c1ncc(Nc2cc(C)nc(C)c2)cc1","",3.084211959
"FC(C1=NC=CC(N)=C1)(F)F*O=C(OC)C1=CN=C(Br)C=C1*FC(F)(F)c1nccc(Nc2ncc(C(=O)OC)cc2)c1","",0.238950165
"FC(C1=NC=CC(N)=C1)(F)F*FC(C1=NC=CC=C1Br)(F)F*FC(F)(F)c1c(Nc2cc(C(F)(F)F)ncc2)cccn1","",2.542869761
"FC(C1=NC=CC(N)=C1)(F)F*O=C(OCC)C1=NC=CC(Br)=C1*FC(F)(F)c1nccc(Nc2cc(C(=O)OCC)ncc2)c1","",2.862805097
"O=C(OCC)C1=NC=CC(N)=C1*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2cc(C(=O)OCC)ncc2)c1","",1.193941218
